method,audio_id,estoi,tx_gain_db
proposed,0,0.243620,27.00
conv,0,-0.012743,27.00
ldpc,0,0.015201,27.00
3,0,0.017988,27.00
proposed,1,0.170738,27.00
conv,1,0.024618,27.00
ldpc,1,0.019488,27.00
3,1,0.002969,27.00
proposed,2,0.256022,27.00
conv,2,0.012722,27.00
ldpc,2,0.023496,27.00
3,2,0.038480,27.00
proposed,3,0.246968,27.00
conv,3,0.027978,27.00
ldpc,3,0.055181,27.00
3,3,0.070434,27.00
proposed,4,0.281023,27.00
conv,4,0.030184,27.00
ldpc,4,0.027429,27.00
3,4,0.039053,27.00
proposed,5,0.331163,27.00
conv,5,0.001581,27.00
ldpc,5,0.035778,27.00
3,5,0.070172,27.00
proposed,6,0.270459,27.00
conv,6,0.009929,27.00
ldpc,6,0.063988,27.00
3,6,0.073830,27.00
proposed,7,0.098541,27.00
conv,7,0.008041,27.00
ldpc,7,0.013970,27.00
3,7,-0.019242,27.00
proposed,8,0.403967,27.00
conv,8,-0.002424,27.00
ldpc,8,0.062423,27.00
3,8,0.051715,27.00
proposed,9,0.265522,27.00
conv,9,0.000529,27.00
ldpc,9,0.028448,27.00
3,9,0.036903,27.00
proposed,10,0.249862,27.00
conv,10,0.006482,27.00
ldpc,10,0.006005,27.00
3,10,-0.003176,27.00
proposed,11,0.141219,27.00
conv,11,0.009148,27.00
ldpc,11,0.028821,27.00
3,11,-0.000493,27.00
proposed,12,0.295595,27.00
conv,12,0.017604,27.00
ldpc,12,0.035446,27.00
3,12,0.075865,27.00
proposed,13,0.153667,27.00
conv,13,-0.002055,27.00
ldpc,13,0.035304,27.00
3,13,-0.012303,27.00
proposed,14,0.214487,27.00
conv,14,0.000478,27.00
ldpc,14,0.025374,27.00
3,14,0.037677,27.00
proposed,15,0.334181,27.00
conv,15,0.008843,27.00
ldpc,15,0.022308,27.00
3,15,0.053634,27.00
proposed,16,0.301560,27.00
conv,16,0.003011,27.00
ldpc,16,0.047381,27.00
3,16,0.025489,27.00
proposed,17,-0.005118,27.00
conv,17,0.014252,27.00
ldpc,17,0.004478,27.00
3,17,0.009605,27.00
proposed,18,-0.001338,27.00
conv,18,-0.002297,27.00
ldpc,18,0.000786,27.00
3,18,0.000132,27.00
