method,audio_id,estoi,tx_gain_db
proposed,0,0.076993,28.00
conv,0,0.006152,28.00
3,0,-0.012426,28.00
proposed,1,0.120952,28.00
conv,1,0.007695,28.00
3,1,-0.014127,28.00
proposed,2,0.179360,28.00
conv,2,0.004174,28.00
3,2,0.001639,28.00
proposed,3,0.299704,28.00
conv,3,0.006020,28.00
3,3,0.022733,28.00
proposed,4,0.280733,28.00
conv,4,0.011098,28.00
3,4,0.041544,28.00
proposed,5,0.285191,28.00
conv,5,0.009297,28.00
3,5,0.039419,28.00
proposed,6,0.182816,28.00
conv,6,0.007192,28.00
3,6,0.030768,28.00
proposed,7,0.301099,28.00
conv,7,-0.038039,28.00
3,7,0.037566,28.00
proposed,8,0.253591,28.00
conv,8,0.013482,28.00
3,8,0.039324,28.00
proposed,9,0.261919,28.00
conv,9,0.027940,28.00
3,9,0.030616,28.00
proposed,10,0.345702,28.00
conv,10,0.039704,28.00
3,10,0.063097,28.00
proposed,11,0.094179,28.00
conv,11,0.010391,28.00
3,11,0.022719,28.00
proposed,12,0.329046,28.00
conv,12,0.005904,28.00
3,12,0.062255,28.00
proposed,13,0.291206,28.00
conv,13,0.050363,28.00
3,13,0.033128,28.00
proposed,14,0.315394,28.00
conv,14,0.011620,28.00
3,14,0.036601,28.00
proposed,15,0.325333,28.00
conv,15,0.040941,28.00
3,15,0.048227,28.00
proposed,16,0.303959,28.00
conv,16,-0.011113,28.00
3,16,0.043551,28.00
proposed,17,0.166099,28.00
conv,17,-0.003181,28.00
3,17,0.009857,28.00
proposed,18,0.139115,28.00
conv,18,0.005484,28.00
3,18,0.027286,28.00
proposed,19,0.321796,28.00
conv,19,0.012762,28.00
3,19,0.046993,28.00
proposed,20,0.261254,28.00
conv,20,0.033734,28.00
3,20,0.050168,28.00
proposed,21,0.333512,28.00
conv,21,0.005766,28.00
3,21,0.058226,28.00
proposed,22,0.307509,28.00
conv,22,0.011026,28.00
3,22,0.051649,28.00
proposed,23,0.351740,28.00
conv,23,0.003971,28.00
3,23,0.060958,28.00
proposed,24,0.310030,28.00
conv,24,0.032159,28.00
3,24,0.050234,28.00
proposed,25,0.201854,28.00
conv,25,0.021049,28.00
3,25,0.043069,28.00
proposed,26,0.283370,28.00
conv,26,0.002897,28.00
3,26,0.054616,28.00
proposed,27,0.229714,28.00
conv,27,0.013511,28.00
3,27,0.038854,28.00
proposed,28,0.347300,28.00
conv,28,0.027066,28.00
3,28,0.053114,28.00
proposed,29,0.141954,28.00
conv,29,0.001658,28.00
3,29,0.015909,28.00
proposed,30,0.286114,28.00
conv,30,0.019560,28.00
3,30,0.081968,28.00
proposed,31,0.308763,28.00
conv,31,0.002126,28.00
3,31,0.057513,28.00
proposed,32,0.295348,28.00
conv,32,0.015877,28.00
3,32,0.015363,28.00
proposed,33,0.209913,28.00
conv,33,-0.003790,28.00
3,33,0.048127,28.00
proposed,34,0.343606,28.00
conv,34,0.010347,28.00
3,34,0.074155,28.00
proposed,35,0.370407,28.00
conv,35,0.040374,28.00
3,35,0.046963,28.00
proposed,36,0.156071,28.00
conv,36,0.013262,28.00
3,36,0.024098,28.00
proposed,37,0.341300,28.00
conv,37,0.030979,28.00
3,37,0.055913,28.00
proposed,38,0.295622,28.00
conv,38,0.019939,28.00
3,38,0.032116,28.00
proposed,39,0.252701,28.00
conv,39,0.012341,28.00
3,39,0.042246,28.00
proposed,40,0.220097,28.00
conv,40,0.015998,28.00
3,40,0.057926,28.00
proposed,41,0.327797,28.00
conv,41,-0.005891,28.00
3,41,0.098082,28.00
proposed,42,0.309351,28.00
conv,42,-0.006808,28.00
3,42,0.039198,28.00
proposed,43,0.297543,28.00
conv,43,0.023695,28.00
3,43,0.047605,28.00
proposed,44,0.260470,28.00
conv,44,-0.005823,28.00
3,44,0.048068,28.00
proposed,45,0.334744,28.00
conv,45,0.009234,28.00
3,45,0.034070,28.00
proposed,46,0.287788,28.00
conv,46,0.008831,28.00
3,46,0.039514,28.00
proposed,47,0.303582,28.00
conv,47,0.008218,28.00
3,47,0.046340,28.00
proposed,48,0.107099,28.00
conv,48,-0.007681,28.00
3,48,0.041491,28.00
proposed,49,0.003468,28.00
conv,49,0.004238,28.00
3,49,0.001252,28.00
proposed,50,0.247925,28.00
conv,50,-0.002768,28.00
3,50,0.033114,28.00
proposed,51,0.274227,28.00
conv,51,0.023249,28.00
3,51,0.046974,28.00
proposed,52,0.307425,28.00
conv,52,0.003184,28.00
3,52,0.049813,28.00
proposed,53,0.263533,28.00
conv,53,-0.000455,28.00
3,53,0.034362,28.00
proposed,54,0.333413,28.00
conv,54,0.034877,28.00
3,54,0.067517,28.00
proposed,55,0.317635,28.00
conv,55,-0.006964,28.00
3,55,0.055770,28.00
proposed,56,0.337256,28.00
conv,56,0.002233,28.00
3,56,0.060244,28.00
proposed,57,0.225429,28.00
conv,57,0.007183,28.00
3,57,0.041671,28.00
proposed,58,0.258447,28.00
conv,58,-0.023539,28.00
3,58,0.047148,28.00
proposed,59,0.268738,28.00
conv,59,0.019653,28.00
3,59,0.024422,28.00
proposed,60,0.200522,28.00
conv,60,0.011411,28.00
3,60,0.048300,28.00
proposed,61,0.260000,28.00
conv,61,0.021093,28.00
3,61,0.052442,28.00
proposed,62,0.315646,28.00
conv,62,-0.016135,28.00
3,62,0.098172,28.00
proposed,63,0.287704,28.00
conv,63,0.009371,28.00
3,63,0.029377,28.00
proposed,64,0.203730,28.00
conv,64,0.044719,28.00
3,64,0.039876,28.00
proposed,65,0.264046,28.00
conv,65,0.022253,28.00
3,65,0.060563,28.00
proposed,66,0.134573,28.00
conv,66,-0.020569,28.00
3,66,-0.002904,28.00
proposed,67,0.293926,28.00
conv,67,0.034325,28.00
3,67,0.022062,28.00
proposed,68,0.235653,28.00
conv,68,0.023737,28.00
3,68,0.019574,28.00
proposed,69,0.133227,28.00
conv,69,0.033729,28.00
3,69,0.042175,28.00
proposed,70,0.252492,28.00
conv,70,0.029704,28.00
3,70,0.057330,28.00
