audio_id,chunk_id,method,tx_ms,rx_protection_ms,rx_synthesis_ms,rx_total_ms,tx_plus_rx_ms,valid_samples,snr_db_for_offline_metrics
0,0,uncoded,54.68018,0.032926,53.072139,53.105186,107.78536600000001,24000,4.0
0,0,conv-coded,71.737267,168.67522,50.895518,219.57092,291.308187,24000,4.0
0,0,proposed,131.506857,12.357309,53.969874,66.327844,197.834701,24000,4.0
0,1,uncoded,51.825799,0.03218,50.438905,50.471228,102.29702700000001,24000,4.0
0,1,conv-coded,52.821143,169.067453,53.059467,222.12711,274.94825299999997,24000,4.0
0,1,proposed,52.768861,37.907942,56.165411,94.074031,146.842892,24000,4.0
0,2,uncoded,56.474926,0.033128,54.691444,54.724706,111.19963200000001,24000,4.0
0,2,conv-coded,57.27599,172.090798,53.123731,225.214778,282.490768,24000,4.0
0,2,proposed,57.583894,16.731483,54.15604,70.887813,128.47170699999998,24000,4.0
0,3,uncoded,53.660931,0.033506,52.587312,52.620984,106.281915,24000,4.0
0,3,conv-coded,53.202785,170.503426,51.784385,222.287998,275.49078299999996,24000,4.0
0,3,proposed,55.14874,13.693781,51.076926,64.770911,119.91965099999999,24000,4.0
0,4,uncoded,51.732089,0.038151,49.55837,49.596685,101.32877400000001,24000,4.0
0,4,conv-coded,52.165982,167.33187,50.718718,218.050876,270.216858,24000,4.0
0,4,proposed,53.170606,15.462723,50.863685,66.327163,119.497769,24000,4.0
0,5,uncoded,50.998136,0.032735,50.864362,50.897231,101.895367,24000,4.0
0,5,conv-coded,51.594014,167.576768,51.294132,218.871123,270.465137,24000,4.0
0,5,proposed,51.876012,13.644515,49.934553,63.579411,115.455423,24000,4.0
0,6,uncoded,52.130789,0.031739,50.253443,50.285334,102.416123,24000,4.0
0,6,conv-coded,52.50955,167.703354,51.832996,219.536536,272.046086,24000,4.0
0,6,proposed,53.07765,14.940908,50.922772,65.863994,118.941644,24000,4.0
0,7,uncoded,50.173285,0.033278,49.868561,49.902001,100.075286,24000,4.0
0,7,conv-coded,51.097036,168.353468,51.324027,219.677679,270.774715,24000,4.0
0,7,proposed,50.962985,16.201832,51.408492,67.61077,118.573755,24000,4.0
0,8,uncoded,51.845167,0.031324,49.999238,50.030691,101.875858,24000,4.0
0,8,conv-coded,52.87174,168.67715,50.509696,219.187119,272.058859,24000,4.0
0,8,proposed,52.559375,13.199446,50.753293,63.953078,116.512453,24000,4.0
0,9,uncoded,51.512563,0.031898,49.845408,49.877475,101.390038,24000,4.0
0,9,conv-coded,53.915325,168.476889,51.648702,220.125785,274.04111,24000,4.0
0,9,proposed,52.869157,15.301258,51.571996,66.87345,119.742607,24000,4.0
0,10,uncoded,51.073714,0.034848,50.348761,50.383766,101.45748,24000,4.0
0,10,conv-coded,53.780527,169.605995,51.08939,220.695576,274.47610299999997,24000,4.0
0,10,proposed,52.605615,14.65803,50.46679,65.125188,117.730803,24000,4.0
0,11,uncoded,51.29426,0.032298,50.393475,50.425938,101.72019800000001,24000,4.0
0,11,conv-coded,52.897511,170.053409,55.571241,225.624892,278.522403,24000,4.0
0,11,proposed,51.330653,17.317606,51.578008,68.896001,120.226654,24000,4.0
0,12,uncoded,51.408044,0.03476,50.334534,50.369486,101.77753,19920,4.0
0,12,conv-coded,52.132464,170.190382,52.56193,222.752524,274.884988,19920,4.0
0,12,proposed,51.084788,14.133127,50.973049,65.106591,116.191379,19920,4.0
1,0,uncoded,55.049975,0.031923,48.817355,48.849455,103.89943,24000,4.0
1,0,conv-coded,54.645794,167.363852,50.429112,217.793154,272.438948,24000,4.0
1,0,proposed,53.158904,13.959876,49.946274,63.906614,117.065518,24000,4.0
1,1,uncoded,51.464225,0.03198,50.04735,50.079494,101.543719,24000,4.0
1,1,conv-coded,55.339968,167.87249,50.46728,218.340009,273.679977,24000,4.0
1,1,proposed,54.457527,15.536089,49.62808,65.164754,119.622281,24000,4.0
1,2,uncoded,53.339248,0.032866,49.952464,49.985496,103.324744,24000,4.0
1,2,conv-coded,53.536187,168.092656,50.495528,218.588396,272.124583,24000,4.0
1,2,proposed,51.938313,12.412153,49.979406,62.391921,114.330234,24000,4.0
1,3,uncoded,51.213223,0.032484,50.179447,50.212112,101.42533499999999,24000,4.0
1,3,conv-coded,51.998066,167.501466,52.517156,220.018827,272.016893,24000,4.0
1,3,proposed,51.942783,14.927806,51.615395,66.543601,118.48638399999999,24000,4.0
1,4,uncoded,52.35335,0.032179,48.643572,48.675922,101.02927199999999,24000,4.0
1,4,conv-coded,53.696869,168.752836,51.015781,219.768846,273.465715,24000,4.0
1,4,proposed,52.023179,14.271483,50.23527,64.507099,116.530278,24000,4.0
1,5,uncoded,51.706393,0.03316,49.714099,49.747437,101.45383,24000,4.0
1,5,conv-coded,52.905252,168.682757,50.373543,219.056513,271.961765,24000,4.0
1,5,proposed,52.875013,14.26858,50.120066,64.388997,117.26401000000001,24000,4.0
1,6,uncoded,52.131923,0.033852,49.145207,49.179248,101.311171,24000,4.0
1,6,conv-coded,54.646227,169.116774,50.997585,220.114599,274.760826,24000,4.0
1,6,proposed,53.722686,15.042292,50.326619,65.369219,119.091905,24000,4.0
1,7,uncoded,51.648919,0.032812,49.810215,49.843224,101.492143,24000,4.0
1,7,conv-coded,54.203467,168.172672,49.906573,218.079429,272.282896,24000,4.0
1,7,proposed,52.319522,14.08753,50.706323,64.794324,117.113846,24000,4.0
1,8,uncoded,51.277062,0.031847,49.879924,49.911941,101.189003,24000,4.0
1,8,conv-coded,52.168499,167.787638,52.674917,220.462811,272.63131,24000,4.0
