method,audio_id,pesq,tx_gain_db
proposed,0,1.045854,27.00
conv,0,1.052368,27.00
ldpc,0,1.029864,27.00
3,0,1.049075,27.00
proposed,1,1.037154,27.00
conv,1,1.124937,27.00
ldpc,1,1.035193,27.00
3,1,1.031695,27.00
proposed,2,1.047163,27.00
conv,2,1.043488,27.00
ldpc,2,1.052279,27.00
3,2,1.027540,27.00
proposed,3,1.073040,27.00
conv,3,1.063878,27.00
ldpc,3,1.057206,27.00
3,3,1.037274,27.00
proposed,4,1.050209,27.00
conv,4,1.040731,27.00
ldpc,4,1.046907,27.00
3,4,1.045298,27.00
proposed,5,1.065151,27.00
conv,5,1.042618,27.00
ldpc,5,1.042265,27.00
3,5,1.049037,27.00
proposed,6,1.047258,27.00
conv,6,1.048654,27.00
ldpc,6,1.178540,27.00
3,6,1.068655,27.00
proposed,7,1.038664,27.00
conv,7,1.029333,27.00
ldpc,7,1.027364,27.00
3,7,1.026766,27.00
proposed,8,1.073893,27.00
conv,8,1.065377,27.00
ldpc,8,1.048285,27.00
3,8,1.044767,27.00
proposed,9,1.064450,27.00
conv,9,1.027156,27.00
ldpc,9,1.033138,27.00
3,9,1.143222,27.00
proposed,10,1.045300,27.00
conv,10,1.033662,27.00
ldpc,10,1.064484,27.00
3,10,1.395424,27.00
proposed,11,1.039822,27.00
conv,11,1.044776,27.00
ldpc,11,1.041933,27.00
3,11,1.045647,27.00
proposed,12,1.049548,27.00
conv,12,1.032956,27.00
ldpc,12,1.037587,27.00
3,12,1.097265,27.00
proposed,13,1.075712,27.00
conv,13,1.034986,27.00
ldpc,13,1.034228,27.00
3,13,1.036819,27.00
proposed,14,1.036151,27.00
conv,14,1.023088,27.00
ldpc,14,1.022826,27.00
3,14,1.024512,27.00
proposed,15,1.045130,27.00
conv,15,1.038760,27.00
ldpc,15,1.115269,27.00
3,15,1.029498,27.00
proposed,16,1.071895,27.00
conv,16,1.025966,27.00
ldpc,16,1.033541,27.00
3,16,1.024143,27.00
proposed,17,1.041498,27.00
conv,17,1.042598,27.00
ldpc,17,1.045445,27.00
3,17,1.041968,27.00
proposed,18,1.070821,27.00
conv,18,1.067576,27.00
ldpc,18,1.071056,27.00
3,18,1.069430,27.00
proposed,19,1.168414,27.00
conv,19,1.110677,27.00
ldpc,19,1.103220,27.00
3,19,1.103140,27.00
proposed,20,1.054904,27.00
conv,20,1.058605,27.00
ldpc,20,1.058526,27.00
3,20,1.056424,27.00
proposed,21,1.081553,27.00
conv,21,1.033383,27.00
ldpc,21,1.074362,27.00
3,21,1.056221,27.00
proposed,22,1.073977,27.00
conv,22,1.121595,27.00
ldpc,22,1.054685,27.00
3,22,1.036533,27.00
proposed,23,1.029327,27.00
conv,23,1.027089,27.00
ldpc,23,1.026581,27.00
3,23,1.026797,27.00
proposed,24,1.105358,27.00
conv,24,1.027951,27.00
ldpc,24,1.029993,27.00
3,24,1.028471,27.00
proposed,25,1.078821,27.00
conv,25,1.037022,27.00
ldpc,25,1.036702,27.00
3,25,1.036647,27.00
proposed,26,1.062026,27.00
conv,26,1.082479,27.00
ldpc,26,1.055828,27.00
3,26,1.030672,27.00
proposed,27,1.097977,27.00
conv,27,1.117563,27.00
ldpc,27,1.061170,27.00
3,27,1.041013,27.00
proposed,28,1.083647,27.00
conv,28,1.031479,27.00
ldpc,28,1.062276,27.00
3,28,1.040697,27.00
proposed,29,1.062767,27.00
conv,29,1.028356,27.00
ldpc,29,1.038827,27.00
3,29,1.031401,27.00
proposed,30,1.104397,27.00
conv,30,1.039106,27.00
ldpc,30,1.041929,27.00
3,30,1.047101,27.00
proposed,31,1.097633,27.00
conv,31,1.062997,27.00
ldpc,31,1.031349,27.00
3,31,1.035987,27.00
proposed,32,1.048773,27.00
conv,32,1.071100,27.00
ldpc,32,1.037524,27.00
3,32,1.043815,27.00
proposed,33,1.062724,27.00
conv,33,1.065766,27.00
ldpc,33,1.034247,27.00
