method,audio_id,pesq,tx_gain_db
proposed,0,1.035908,28.00
conv,0,1.032907,28.00
3,0,1.033686,28.00
proposed,1,1.043316,28.00
conv,1,1.041230,28.00
3,1,1.039912,28.00
proposed,2,1.028504,28.00
conv,2,1.088324,28.00
3,2,1.050507,28.00
proposed,3,1.070090,28.00
conv,3,1.033447,28.00
3,3,1.040849,28.00
proposed,4,1.040685,28.00
conv,4,1.039076,28.00
3,4,1.052797,28.00
proposed,5,1.053519,28.00
conv,5,1.031451,28.00
3,5,1.026633,28.00
proposed,6,1.052945,28.00
conv,6,1.026549,28.00
3,6,1.026727,28.00
proposed,7,1.052767,28.00
conv,7,1.028436,28.00
3,7,1.024701,28.00
proposed,8,1.063753,28.00
conv,8,1.058374,28.00
3,8,1.068313,28.00
proposed,9,1.058725,28.00
conv,9,1.025482,28.00
3,9,1.051276,28.00
proposed,10,1.062847,28.00
conv,10,1.200864,28.00
3,10,1.028536,28.00
proposed,11,1.047163,28.00
conv,11,1.031109,28.00
3,11,1.031383,28.00
proposed,12,1.060666,28.00
conv,12,1.035616,28.00
3,12,1.025874,28.00
proposed,13,1.069220,28.00
conv,13,1.046762,28.00
3,13,1.042058,28.00
proposed,14,1.049832,28.00
conv,14,1.023539,28.00
3,14,1.022793,28.00
proposed,15,1.043168,28.00
conv,15,1.024764,28.00
3,15,1.027727,28.00
proposed,16,1.053455,28.00
conv,16,1.071700,28.00
3,16,1.051856,28.00
proposed,17,1.068056,28.00
conv,17,1.059454,28.00
3,17,1.060664,28.00
proposed,18,1.058009,28.00
conv,18,1.042964,28.00
3,18,1.038228,28.00
proposed,19,1.065050,28.00
conv,19,1.074602,28.00
3,19,1.085830,28.00
proposed,20,1.051582,28.00
conv,20,1.195620,28.00
3,20,1.059976,28.00
proposed,21,1.060527,28.00
conv,21,1.033667,28.00
3,21,1.109782,28.00
proposed,22,1.071799,28.00
conv,22,2.982990,28.00
3,22,1.056317,28.00
proposed,23,1.066082,28.00
conv,23,1.022788,28.00
3,23,1.027571,28.00
proposed,24,1.054539,28.00
conv,24,1.032372,28.00
3,24,1.055933,28.00
proposed,25,1.046131,28.00
