method,audio_id,si_sdr_db,tx_gain_db
3,0,-36.931409,27.00
3,1,-41.964702,27.00
3,2,-37.032028,27.00
3,3,-36.343446,27.00
3,4,-27.130919,27.00
3,5,-32.085182,27.00
3,6,-34.282722,27.00
3,7,-43.520617,27.00
3,8,-31.214676,27.00
3,9,-28.223633,27.00
3,10,-37.104991,27.00
3,11,-59.596815,27.00
3,12,-34.339801,27.00
3,13,-33.535234,27.00
3,14,-36.823561,27.00
3,15,-29.303243,27.00
3,16,-32.330022,27.00
3,17,-47.408237,27.00
3,18,-54.550569,27.00
3,19,-48.420778,27.00
3,20,-47.472208,27.00
3,21,-24.727011,27.00
3,22,-26.651268,27.00
3,23,-54.406871,27.00
3,24,-35.051339,27.00
3,25,-29.597977,27.00
3,26,-28.804885,27.00
3,27,-31.036562,27.00
3,28,-27.192275,27.00
3,29,-26.827618,27.00
3,30,-25.261834,27.00
3,31,-26.370255,27.00
3,32,-27.486504,27.00
3,33,-22.126017,27.00
3,34,-20.500489,27.00
3,35,-24.265530,27.00
3,36,-23.153961,27.00
3,37,-34.712084,27.00
3,38,-27.832043,27.00
3,39,-26.921338,27.00
3,40,-23.836306,27.00
3,41,-29.182114,27.00
3,42,-22.963076,27.00
3,43,-23.713557,27.00
3,44,-24.417570,27.00
3,45,-23.873760,27.00
3,46,-23.941269,27.00
3,47,-22.683941,27.00
3,48,-24.142307,27.00
3,49,-22.034232,27.00
3,50,-21.612156,27.00
3,51,-21.324190,27.00
3,52,-22.791003,27.00
3,53,-19.517631,27.00
3,54,-25.035249,27.00
3,55,-20.257804,27.00
3,56,-21.752446,27.00
3,57,-19.139565,27.00
3,58,-18.375573,27.00
3,59,-22.158875,27.00
3,60,-22.133285,27.00
3,61,-22.206728,27.00
3,62,-22.383016,27.00
3,63,-20.943656,27.00
3,64,-20.493944,27.00
3,65,-34.691231,27.00
3,66,-40.677287,27.00
3,67,-42.900070,27.00
3,68,-33.600117,27.00
3,69,-37.823228,27.00
3,70,-56.125062,27.00
3,71,-44.398215,27.00
3,72,-44.774357,27.00
3,73,-40.958364,27.00
3,74,0.000000,27.00
3,75,-55.707833,27.00
3,76,-39.394523,27.00
3,77,-33.034815,27.00
3,78,-38.361712,27.00
3,79,-75.380358,27.00
3,80,-33.862664,27.00
3,81,-34.583569,27.00
3,82,-29.838457,27.00
3,83,-54.227414,27.00
