method,audio_id,si_sdr_db,tx_gain_db
3,0,-48.261404,26.00
3,1,-58.504273,26.00
3,2,0.000000,26.00
3,3,-48.837873,26.00
3,4,0.000000,26.00
3,5,-49.865428,26.00
3,6,-44.049054,26.00
3,7,-33.250739,26.00
3,8,-43.971703,26.00
3,9,-43.845481,26.00
3,10,-55.051832,26.00
3,11,0.000000,26.00
3,12,-45.816505,26.00
3,13,-71.689290,26.00
3,14,0.000000,26.00
3,15,-37.183559,26.00
3,16,0.000000,26.00
3,17,0.000000,26.00
3,18,-50.992076,26.00
3,19,-57.412373,26.00
3,20,0.000000,26.00
3,21,-40.953582,26.00
3,22,-40.640591,26.00
3,23,-54.537737,26.00
3,24,-45.636100,26.00
3,25,-37.005042,26.00
3,26,-44.253883,26.00
3,27,0.000000,26.00
3,28,-44.726862,26.00
3,29,0.000000,26.00
3,30,-40.999017,26.00
3,31,-49.148608,26.00
3,32,-54.989959,26.00
3,33,-49.214550,26.00
3,34,0.000000,26.00
3,35,0.000000,26.00
3,36,-68.803749,26.00
3,37,0.000000,26.00
3,38,-42.782501,26.00
3,39,-41.989949,26.00
3,40,0.000000,26.00
3,41,0.000000,26.00
3,42,0.000000,26.00
3,43,0.000000,26.00
3,44,0.000000,26.00
3,45,0.000000,26.00
3,46,-50.553897,26.00
3,47,-23.655580,26.00
3,48,-49.680862,26.00
3,49,-52.195106,26.00
3,50,-48.298109,26.00
3,51,-45.346746,26.00
3,52,-49.672694,26.00
3,53,-54.359328,26.00
3,54,-38.680449,26.00
3,55,-45.673680,26.00
3,56,-39.945028,26.00
3,57,-36.547187,26.00
3,58,-40.108927,26.00
3,59,0.000000,26.00
3,60,-43.892244,26.00
3,61,0.000000,26.00
3,62,-36.797660,26.00
3,63,-71.572728,26.00
3,64,-46.875325,26.00
3,65,-43.141163,26.00
3,66,-53.109764,26.00
3,67,-97.828935,26.00
3,68,-64.129096,26.00
3,69,-44.924543,26.00
3,70,-67.741977,26.00
3,71,-52.364613,26.00
3,72,-46.584426,26.00
3,73,0.000000,26.00
3,74,0.000000,26.00
3,75,0.000000,26.00
3,76,0.000000,26.00
3,77,0.000000,26.00
3,78,0.000000,26.00
3,79,0.000000,26.00
3,80,0.000000,26.00
3,81,0.000000,26.00
3,82,0.000000,26.00
3,83,0.000000,26.00
3,84,0.000000,26.00
3,85,0.000000,26.00
3,86,0.000000,26.00
3,87,0.000000,26.00
3,88,0.000000,26.00
3,89,0.000000,26.00
3,90,0.000000,26.00
3,91,0.000000,26.00
3,92,-49.736991,26.00
3,93,-35.890582,26.00
3,94,-53.580111,26.00
3,95,-37.700065,26.00
3,96,-43.845390,26.00
3,97,-47.497899,26.00
3,98,-34.466439,26.00
3,99,-38.321220,26.00
conv,0,-44.931006,26.00
conv,1,-55.483364,26.00
conv,2,0.000000,26.00
conv,3,-69.553796,26.00
conv,4,0.000000,26.00
conv,5,-45.294213,26.00
conv,6,-42.707417,26.00
conv,7,-50.157348,26.00
conv,8,-52.930766,26.00
conv,9,-45.118673,26.00
conv,10,-34.157336,26.00
conv,11,0.000000,26.00
conv,12,-42.213900,26.00
conv,13,-52.312459,26.00
conv,14,0.000000,26.00
conv,15,-39.142292,26.00
conv,16,0.000000,26.00
conv,17,0.000000,26.00
conv,18,-48.790903,26.00
conv,19,-64.414528,26.00
conv,20,0.000000,26.00
conv,21,-44.120583,26.00
conv,22,-39.580651,26.00
conv,23,-45.191204,26.00
conv,24,-55.070751,26.00
conv,25,-77.089785,26.00
conv,26,-44.137604,26.00
conv,27,0.000000,26.00
conv,28,-47.212260,26.00
conv,29,0.000000,26.00
conv,30,-49.367450,26.00
conv,31,-57.561769,26.00
conv,32,-39.751564,26.00
conv,33,-39.143891,26.00
conv,34,0.000000,26.00
conv,35,0.000000,26.00
conv,36,-42.857567,26.00
conv,37,0.000000,26.00
conv,38,-44.223633,26.00
conv,39,-44.706456,26.00
conv,40,0.000000,26.00
conv,41,0.000000,26.00
conv,42,0.000000,26.00
conv,43,0.000000,26.00
conv,44,0.000000,26.00
conv,45,0.000000,26.00
conv,46,-48.858719,26.00
conv,47,-25.251777,26.00
conv,48,-42.751383,26.00
conv,49,-42.430745,26.00
conv,50,-38.058399,26.00
conv,51,-42.602816,26.00
conv,52,-41.904529,26.00
conv,53,-45.032567,26.00
conv,54,-37.219927,26.00
conv,55,-74.922742,26.00
conv,56,-53.147964,26.00
conv,57,-47.810862,26.00
conv,58,-49.671959,26.00
conv,59,0.000000,26.00
conv,60,-45.081587,26.00
conv,61,0.000000,26.00
conv,62,-51.738394,26.00
conv,63,-49.103144,26.00
conv,64,-39.367003,26.00
conv,65,-52.134352,26.00
conv,66,-46.187244,26.00
conv,67,-63.721345,26.00
conv,68,-59.011237,26.00
conv,69,-54.351264,26.00
conv,70,-62.029086,26.00
conv,71,-45.604831,26.00
conv,72,-39.968470,26.00
conv,73,0.000000,26.00
conv,74,0.000000,26.00
conv,75,0.000000,26.00
conv,76,0.000000,26.00
conv,77,0.000000,26.00
conv,78,0.000000,26.00
conv,79,0.000000,26.00
conv,80,0.000000,26.00
conv,81,0.000000,26.00
conv,82,0.000000,26.00
conv,83,0.000000,26.00
conv,84,0.000000,26.00
conv,85,0.000000,26.00
conv,86,0.000000,26.00
conv,87,0.000000,26.00
conv,88,0.000000,26.00
conv,89,0.000000,26.00
conv,90,0.000000,26.00
conv,91,0.000000,26.00
conv,92,-39.763311,26.00
conv,93,-48.658383,26.00
conv,94,-46.787136,26.00
conv,95,-45.160149,26.00
conv,96,-46.164954,26.00
