audio_id,chunk_id,encodec_encoder_ms,quantizer_3cb_ms,quantizer_4cb_ms,plain_pack_ms,conv_encode_pack_ms,vogeo_encode_only_ms,vogeo_pack_ms,uncoded_total_ms,conv_total_ms,proposed_total_ms
0,0,47.579727,3.991053,4.015885,0.042034,0.782371,0.496264,0.00571,51.637646,52.353151,52.072753999999996
0,1,46.670602,3.871784,3.900686,0.044325,0.765966,0.50094,0.008268,50.615613,51.308352,51.051594
0,2,46.359713,3.962985,3.959353,0.045797,0.761825,0.474779,0.006999,50.364863,51.084523000000004,50.804476
0,3,45.255619,3.906646,3.849344,0.044918,0.755844,0.459895,0.006487,49.14988100000001,49.91810900000001,49.62864700000001
0,4,46.577382,3.88519,3.927849,0.048367,0.761415,0.479076,0.008318,50.553598,51.223987,50.949966
0,5,45.731053,3.857322,3.9035,0.044044,0.759624,0.492695,0.0058,49.678597,50.347999,50.08687
0,6,46.932205,3.858914,3.86908,0.043768,0.759752,0.460602,0.005793,50.845053,51.550871,51.257514
0,7,46.234935,3.875244,3.900456,0.045058,0.761457,0.47153,0.007021,50.180448999999996,50.871636,50.588730000000005
0,8,45.176971,3.86808,3.973227,0.044444,0.767564,0.47239,0.007299,49.194642,49.812615,49.52474
0,9,46.776557,3.890617,3.848331,0.042892,0.761978,0.456205,0.006678,50.66778,51.429151999999995,51.130056999999994
0,10,46.569283,3.902868,3.853135,0.043538,0.759798,0.461355,0.005493,50.465956,51.231949,50.938998999999995
0,11,45.418253,3.954671,4.137188,0.052029,0.791798,0.502773,0.007909,49.60747,50.164722,49.88360599999999
0,12,48.378478,3.975064,4.024774,0.044458,0.787184,0.499751,0.007063,52.44771,53.14072600000001,52.86035600000001
1,0,50.850968,4.219069,4.128536,0.045027,0.794484,0.498583,0.0071,55.024531,55.864520999999996,55.57572
1,1,48.0384,3.9139,3.95484,0.0436,0.776173,0.468139,0.005841,52.03684,52.728473,52.42628
1,2,47.346039,3.944778,3.956011,0.04628,0.763484,0.473346,0.0068,51.34833,52.054300999999995,51.770962999999995
1,3,45.909652,3.814033,3.865524,0.044872,0.758351,0.467449,0.006372,49.820048,50.482036,50.197506000000004
1,4,47.510939,3.81676,3.879399,0.044847,0.760085,0.46991,0.005811,51.435185,52.087784,51.80342
1,5,46.937896,3.834969,3.91158,0.045528,0.743034,0.468371,0.00656,50.895004,51.515899000000005,51.247796
1,6,45.446274,3.924582,3.897006,0.043656,0.761008,0.462783,0.008105,49.386936,50.131864,49.841744000000006
1,7,47.443531,3.795349,3.84913,0.047092,0.759058,0.46013,0.006111,51.339753,51.997938000000005,51.705121
1,8,47.738995,3.982513,3.941495,0.045963,0.775886,0.459163,0.00535,51.72645300000001,52.497394,52.186021
1,9,45.05053,3.969693,3.929571,0.046504,0.760666,0.466649,0.007112,49.026605,49.780889,49.493984
1,10,47.35711,3.925976,3.872255,0.04387,0.762046,0.504231,0.006653,51.273235,52.045131999999995,51.793969999999995
1,11,46.91737,3.949112,3.976339,0.04805,0.785522,0.47806,0.006855,50.941759000000005,51.652004,51.351397
1,12,44.253581,3.927415,3.918678,0.044487,0.762705,0.455991,0.006145,48.21674599999999,48.94370099999999,48.64313199999999
2,0,48.555048,3.887646,4.025057,0.046101,0.774746,0.5089,0.007354,52.626206,53.21744,52.958948
2,1,47.639433,3.920233,3.847902,0.045567,0.762083,0.473033,0.006914,51.53290199999999,52.321749,52.039613
2,2,45.832533,3.871681,3.881023,0.043324,0.768715,0.46256,0.006246,49.756879999999995,50.472929,50.17302
2,3,48.00504,3.94274,3.972105,0.04757,0.759276,0.496904,0.007598,52.024715,52.707056,52.452282000000004
2,4,47.855417,3.955572,3.877314,0.044635,0.766212,0.466337,0.006002,51.777366,52.57720100000001,52.28332800000001
2,5,45.470535,3.900093,3.894016,0.043086,0.758693,0.465129,0.00602,49.407637,50.129321,49.84177699999999
2,6,46.712998,3.928748,3.955485,0.043714,0.767468,0.480555,0.006671,50.712197,51.409214,51.128972
2,7,47.613402,3.871687,3.865737,0.044444,0.763373,0.474321,0.005836,51.523583,52.248462,51.96524600000001
2,8,44.165668,3.894074,3.91036,0.045037,0.761393,0.460682,0.005716,48.121064999999994,48.821135,48.52614
